input_claims,labels
"Sea-level rise is not occurring or showing any impacts, based on photographic evidence.",1
May 2024 auroras were caused by experiments from High-frequency Active Auroral Research Program (HAARP) experiments,1
Climate scientists disagree about how much warming is associated with our emissions and whether this warming is larger than natural climate variability from the sun and volcanic eruptions,2
Human-caused carbon emissions’ effect on climate is ‘non-discernible’. Measurements of carbon isotope ratios in atmospheric CO2 indicate that it is the recent expansion of a more productive biosphere that has led to increased CO2 concentrations in the atmosphere.,1
" Ice cores from Greenland show no significant warming, casting doubt on the climate change theory",1
"Arctic sea ice is not melting and there is no indication that we should expect the Arctic sea summer ice to disappear completely, as predicted",1
"High CO2 was fine for the dinosaurs and high CO2 benefits plants today in greenhouses, so more CO2 can’t be bad for humans",2
Study and headline saying homegrown food is more carbon intensive than conventional agriculture is meant to discourage and stop people from growing their own food,2
"US state governments are banning chemtrails, confirming secret government programs using chemtrails for various purposes that harm the public and the environment",1
"Carbon dioxide does not cause global warming, scientists are 90% sure it’s the Sun; The climate problems blamed on carbon dioxide (such as ocean acidification and negative impacts on polar bears) are not real",1
The EU could SEIZE and SCRAP your old car if it doesn't meet their criteria as part of their climate agenda.,1
Scientists say human breathing is fueling global warming,2
"Methane from cows is only a small percentage of total greenhouse gas emissions, it would be produced anyways without cattle, it is not an important contributor to climate change",2
"Scientists predicted global cooling and were wrong, so they are wrong about global warming",1
Water vapor is the most abundant greenhouse gas so it is the main cause of recent global warming,1
"Increases in atmospheric CO2 is mainly from natural causes, like ocean outgassing, and not from humans who emit so little in comparison",1
New photosynthesis study shows that Earth is not warming as predicted by climate models,1
We do not know if CO2 is the cause of global warming,1
"The cyclical activity of the Sun as well as other variations in solar and earth activity, and NOT anthropogenic CO2 emissions, are responsible for climate change",1
Global warming is just the end of the Little Ice Age; Warming is slower than climate models forecasted; Carbon dioxide is beneficial to Earth; Global warming is not intensifying or increasing the frequency of natural disasters,1
Global weather is controlled by secret geoengineering programs using chemtrails and ionosphere heating facilities.,1
"Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days.",1
"“We have been cooling down for the past 4000 years”; the Earth has cooled since the ‘medieval warming’, “It’s all about when you start the measurements”",1
Antarctic sea-ice extent is increasing to record levels. Antarctica is getting colder; its sea ice and ice cap are not melting,1
Chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead,1
Scientists have found no consistent correlation between CO2 and temperature; scientists do not know whether earth will warm or cool in future,1
CO<sub>2</sub> is not the cause of our current warming trend; Arctic sea ice has expanded in recent years; Polar bears’ population is growing and is not threatened by climate change; CO<sub>2</sub> is good for plant life,1
“Believing CO2 controls the climate is pretty close to believing in magic.”,1
"“Natural variation explains a substantial part of global warming observed since 1850;” no statistical evidence that global warming is intensifying natural disasters, or making them more frequent.",1
Carbon dioxide is not a climate heat driver; we had an ice age when the Earth had extraordinarily larger amounts of carbon dioxide; in the 1970s scientists thought we were going to have a new ice age.,1
"Scientists have neglected the effect of solar particles, cosmic rays, the interplanetary magnetic field and Earth's weakening magnetic field to conclude climate change is due to human activity",1
”Global warming started to run out of steam over two decades ago… Half of the apparent global temperature increase from January 1910 to January 2000 is due to administrative adjustments.”,1
"“...Seven and a half years have passed since there was any trend in global warming at all” If global warming was caused by human emissions, temperature would rise at a steady rate",1
"""There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes""",1
"""Greenland’s Melting Ice Is No Cause for Climate-Change Panic""",1
"""Is There Really a Climate Emergency?""",1
Study Shows The Great Barrier Reef Is Growing Quickly,2
"""Rain fell at the normally snowy summit of Greenland for the first time on record""",5
"""the US corn crop, at its peak, produces 40% more oxygen than the Amazon rainforest.""",1
"""Great Barrier Reef Sea Surface Temperature: No Change In 150 Years""",1
The Sun and not human emissions of carbon dioxide may be the main cause of warmer temperatures in recent decades. There is a systemic bias in UN IPCC's data selection.,1
“The amount of coral on the Great Barrier Reef is at record high levels”; those claiming the reef is threatened by climate change are alarmists,1
"""The official observed temperatures are coming consistently below the scary global warming numbers""; ""Melting polar ice triggers ice age""",1
"""There is no climate emergency""",1
"""‘Unsettled’ Review: The ‘Consensus’ On Climate""",1
Biden’s climate plan limits meat consumption by 90%; “Biden's climate plan could limit you to eat just one burger a MONTH” ,1
"""Are we doomed?""",1
"""A third of Antarctic ice shelf risks collapse as our planet warms""",5
"There is no factual data to back up global warming; real scientists don’t know whether CO<sub>2</sub>, solar sunspots or natural activity cause global warming",1
"""Deserts are heat producers, reflecting around 60% to 70% of the solar energy that falls on them straight back into the atmosphere.""; ""If we want to do something about global warming, we have to do something about deserts.""",1
"""The intentional dimming of direct sunlight by aircraft dispersed particles, a form of global warming mitigation known as “Solar Radiation Management”, has and is causing catastrophic damage to the planet’s life support systems.""",1
"""First study of all Amazon greenhouse gases suggests the damaged forest is now worsening climate change""",4
"""In the Atlantic Ocean, Subtle Shifts Hint at Dramatic Dangers""",5
"Science said in the: 70s, another ice age in 10 years; 80s, acid rain will destroy all crops in 10 years; 90s: the ozone layer will be destroyed in 10 years; 2000’s the ice caps will be gone on 10 years",1
"HAARP may deliberately create destruction on a global scale, causing earthquakes, cyclones, flooding, snowstorms, around the world; HAARP may be attacking the citizens of the world telepathically, influencing thoughts with low frequency vibrations",1
"""Study Disputes That Earth Is in a ‘Climate Emergency’""",1
"“The 58 year net gain of global temperature is zero. We are simply in a cyclical, normal ebb and flow of temperature.”",1
" ""climate models that attempt to predict the future temperature of the planet...don’t work. They haven’t worked in the past. They don’t work now.""; ""the number of factors that influence climate—the sun, the earth’s orbital properties, oceans, clouds, and, yes, industrial man—is huge and enormously variable""; ""CO2 is a minor contributor to the warming of the earth""",1
"""“Earth's climate is 'cyclical' as new study claims an ice age is coming”""",1
“there has not been a long-term distinctive change in sea level rise rates in the last 120 years”,1
“It’s a good thing that we are putting some more carbon dioxide in the atmosphere. The scientific method has not been applied in such a way as to prove that carbon dioxide is causing the Earth to warm.”,1
“The clothing industry contributes up to 10% of the pollution driving the climate crisis.”,5
“this is [...] a brush rake. It's used for clearing underbrush and debris from the forest floor that builds up and creates fuel for wild fires. Now you can stop looking stupid trying to make fun of Trump telling California to rake the forest.”,2
"""'Sleeping giant' Arctic methane deposits starting to release, scientists find""",2
" “In 1950, there were around 10,000 polar bears globally. Today, polar bear populations are near 39,000. Polar bear populations are increasing dramatically as the planet has warmed.”",2
“Amazon near tipping point of switching from rainforest to savannah”,3
"""Wildfires Will Become Worse Thanks To Decades-Old Liberal Policies, Says Fire Expert Who Predicted Uptick In Blazes""",2
“Forest fires are caused by poor management. Not by climate change.”,2
"a distressing number of the [West coast] fires are not accidents, and willful arson is the cause.",1
"""Greenland's ice sheet has melted to a point of no return, according to new study""",2
"""Global warming is driving polar bears toward extinction""",5
Greenhouse gases emitted into the ocean are causing more holes in the ozone layer … “the ozone layer has holes in it causing global temperature to rise”,1
"""On Behalf Of Environmentalists, I Apologize For The Climate Scare""",2
Surface air temperatures at the bottom of the world have risen three times faster than the global average since the 1990s.,5
"The scientific consensus on whether global warming is human caused is not 97 percent, it’s less than 1 percent. There is no way to measure the human impact on climate change.",1
"""Climate worst-case scenarios may not go far enough, cloud data shows""",2
"""Climate Change: What Do Scientists Say""",1
"""The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists""",1
The polar bear population has been growing. Polar bears are thriving even where sea ice is diminishing.,1
"""3 billion people — up to half the current global population — could be living in unbearable heat in 50 years""",4
Global warming slowing down? 'Ironic' study finds more CO<sub>2</sub> has slightly cooled the planet,3
Human additions of CO<sub>2</sub> are in the margin of error of current measurements and the gradual increase in CO<sub>2</sub> is mainly from oceans degassing as the planet slowly emerges from the last ice age.,1
They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide. I hope my readers can recognize the absurdity of their claims. … increasing sunspots are linked to increases in earth temperature,1
The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,5
The long-term tide gauge datasets are all in agreement that there is no acceleration,1
"the IPCC is wrong − the sun, not CO2, drove modern global warming",1
"Sea level rise has been slow and a constant, pre-dating industrialization",1
90 percent of the world’s glaciers are growing.,1
Of course the climate is changing. It always has. It always will.,2
Scientists were caught 'adjusting' sea level data to create false impression of rising oceans,1
"Using complex statistical models, [NOAA] change[s] the data to reflect not reality, but their underlying theories of global warming.",1
Less than 5% of carbon dioxide emissions are produced by man [... they] can’t cause 30% of today’s atmospheric carbon dioxide,2
Earth about to enter 30-YEAR ‘Mini Ice Age’,1
CO2 is not a greenhouse gas.,1
The idea that 'climate change' is new or is caused by Humans is nonsense.,1
"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'",2
Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,1
Father of Global Warming’ Scientist Finally Admits Theory Is Wrong,1
"[Photo] A little science lesson for the #idiots at the global warming conference. Ice berg melts, ocean level remains the same.",1
When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical,1
"""See how global warming has changed the world since your childhood""",5
"""Let’s not pollute minds with carbon fears""",1
[A] series of just-released studies by working-level scientists prove that geological and not atmospheric forces are responsible for melting of Earth’s polar ice sheets.,1
"""How Scientists Got Climate Change So Wrong""",2
Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,1
"That one little burp by Mt. Etna has already put more than 10,000 times the CO2 into the atmosphere than mankind has in our entire time on the Earth",1
500 Scientists Write U.N.: ‘There Is No Climate Emergency’.... More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,2
Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,1
"""Climate change: fake news or global threat? This is the science""",1
"""There is no climate emergency""",1
The consensus among scientists and policy-makers is that we’ll pass this point of no return if the global mean temperature rises by more than two degrees Celsius,1
"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",1
"Peer-reviewed studies, geologic records, and all the studies have shown that we have actually cooled since the Roman Warming Period, and likely since the Medieval Warming Period.",1
the U.S. Climate Reference Network[...] finds there has been no warming for the past 14 years at least,1
"changes in the solar orbit of the earth, along with alterations to the earth’s axial tilt, are both responsible for what climate scientists today have dubbed as “warming”[...]. In no way, shape, or form are humans warming or cooling the planet",1
"""The great failure of the climate models""",1
"I am talking about the slaughter, death, and starvation of 6 billion people this century—that's what the science predicts.",1
"I think about all the 194 [countries] that signed onto the Paris accord, the U.S. is the one that's leading the world in reducing emissions",2
"Based on the increase of solar activity during the twentieth century, it should account for between half to two-thirds of all climate change",1
"The current solar minimum could last for more than three decades which could lead to temperatures plummeting across the globe, scientists have warned.",1
"18 proxies tell us the world was the same or warmer 1,000 years ago",1
"[T]he raw data, the actual thermometer data[...] shows that the US has been cooling for 80 to 90 years. But the graphs they release to the public show warming trend, and it's all because they've altered the data.",1
"""Climate scientists drive stake through heart of skeptics' argument""",5
"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",1
"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off",1
During the last hundred years the temperature is increased about 0.1°C because of carbon dioxide. The human contribution was about 0.01°C.,1
"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",1
"""June was hottest ever recorded on Earth, European satellite agency announces""",5
"[NASA] has been adjusting temperatures from the past[...] downward, while adjusting current-day temperatures upward, and those changes are responsible for most of the claimed global warming during that time.",1
New Study Confirms EVs Considerably Worse For Climate Than Diesel Cars,1
"""This scientist proved climate change isn’t causing extreme weather — so politicians attacked""",2
"""New Report Warns ""High Likelihood Of Human Civilization Coming To An End"" Within 30 Years""",1
"""The truth of climate change is revealed at school""",1
the concentration of carbon dioxide in Earth’s atmosphere has climbed to a level last seen more than 3 million years ago — before humans even appeared on the rocky ball we call home,5
"Climate change is not happening, there is no significant man-made global warming now, there hasn't been any in the past, and there's no reason to expect any in the future.",1
"Cold weather to grip world as solar minimum to deepen, NASA says",1
"""Scientists Prove Man-Made Global Warming Is a Hoax""",1
The models predicted about three times the amount of warming in the world we’ve seen since [1988].,1
"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",2
"""Media Hysteria: Climate Change ‘Heat Records’ Are a Huge Data Manipulation""",1
"""Major Climate Report Describes a Strong Risk of Crisis as Early as 2040""",5
"""Avoiding meat and dairy is ‘single biggest way’ to reduce your impact on Earth""",4
"""Republican lawmaker: Rocks tumbling into ocean causing sea level rise""",2
"""Final call to save the world from 'climate catastrophe'""",4
"""Planet has only until 2030 to stem catastrophic climate change, experts warn""",5
"""Earth just had its 400th straight warmer-than-average month thanks to global warming""",5
"""North Pole surges above freezing in the dead of winter, stunning scientists""",5
"""Climate Science and the Myths of Renewable Energy - FOS Steve Goreham""",1
"""NASA releases time-lapse of the disappearing Arctic polar ice cap""",5
[S]unspot activity on the surface of our star has dropped to a new low. It’s feared this could herald the arrival of a uniquely grim ‘mini Ice Age’.,1
"""Startling new research finds large buildup of heat in the oceans, suggesting a faster rate of global warming""",4
"""Huge reduction in meat-eating ‘essential’ to avoid climate breakdown""",5
The rate of warming according to the data is much slower than the models used by the IPCC,1
"""Scientists say halting deforestation 'just as urgent' as reducing emissions""",4
"""Hurricane Florence is not climate change or global warming. It's just the weather.""",1
"""Arctic’s strongest sea ice breaks up for first time on record""",5
there is no relationship between temperature and carbon dioxide emissions by ­humans[...] carbon dioxide has had a minuscule effect on global climate,1
"The ­atmospheric residency time of carbon dioxide is five years and it is quickly sequestered into plants, marine life, oceans and sediments.",2
"""Repeat after me: carbon dioxide is good for us""",1
"""Domino-effect of climate events could move Earth into a ‘hothouse’ state""",4
California wildfires are being magnified & made so much worse by the bad environmental laws which aren’t allowing massive amounts of readily available water to be properly utilized. It is being diverted into the Pacific Ocean.,1
"""Climate change is supercharging a hot and dangerous summer""",5
"""Spring Is Springing Sooner, Throwing Nature's Rhythms Out Of Whack""",5
"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1
"""Global warming could be far worse than predicted, new study suggests""",4
"""Ross McKitrick: All those warming-climate predictions suddenly have a big, new problem""",2
"""Antarctic ice loss has tripled in a decade. If that continues, we are in serious trouble.""",5
"""Hurricanes Are Moving Slower—And That's a Huge Problem""",5
"""In a Warming West, the Rio Grande Is Drying Up""",4
"""The Sea Is Rising, but Not Because of Climate Change""",1
"""The amount of carbon dioxide in the atmosphere just hit its highest level in 800,000 years and scientists predict deadly consequences""",2
"""Not all scientists agree on cause of Great Barrier Reef damage""",1
"""A Startling New Discovery Could Destroy All Those Global Warming Doomsday Forecasts""",1
There isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,1
"""The Arctic’s carbon bomb might be even more potent than we thought""",5
"""Polar bears keep thriving even as global warming alarmists keep pretending they’re dying""",1
"""Satellite observations show sea levels rising, and climate change is accelerating it""",5
"The ice caps were going to melt. They were going to be gone by now, but now they're setting records",1
"""Heart-Wrenching Video Shows Starving Polar Bear on Iceless Land""",4
"""If Everyone Ate Beans Instead of Beef""",4
"""An Iceberg the Size of Delaware Just Broke Away From Antarctica""",5
"""Arctic’s Winter Sea Ice Drops to Its Lowest Recorded Level""",5
"""Global Warming Study Canceled After Humiliating Discovery""",1
"""The Sea Level Around Florida Is Rising Six Times Faster Than Average""",4
"""Earth Sets a Temperature Record for the Third Straight Year""",5
"""Scientists Announce That The Great Barrier Reef is Officially “Terminal”""",2
"""Jerry Brown Blames Climate Change for California Fires: ‘The New Normal’""",1
"""STUDY: Satellites Show No Acceleration In Global Warming For 23 Years""",2
the real atmosphere is less sensitive to CO2 than what has been forecast by climate models,1
"""Ice Apocalypse""",4
"""The three-degree world: the cities that will be drowned by global warming""",4
"""Climate change might be worse than thought after scientists find major mistake in water temperature readings""",2
"""Misguided renewable energy policies will ruin nation""",1
"""More acidic oceans 'will affect all sea life'""",4
"unadjusted data suggests that temperatures in Australia have only increased by 0.3 degrees over the past century, not the 1 degree usually claimed",1
"""Climate Change Is Complex. We’ve Got Answers to Your Questions.""",5
climate models have overestimated the amount of global warming and failed to predict what climatologists call the warming ‘hiatus’,1
"""Climate Scientists: Climate Models Have Overestimated Global Warming""",1
"""Has Climate Change Intensified 2017’s Western Wildfires?""",5
Most of the recent warming could be natural,1
"""Did Climate Change Intensify Hurricane Harvey?""",5
"""Alaska's Permafrost is Thawing""",5
"The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",1
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",1
"""Global Ocean Circulation Appears To Be Collapsing Due To A Warming Planet""",4
"""Climate Change Isn’t the End of the World""",1
"""2017 is so unexpectedly warm it is freaking out climate scientists""",4
"""The Uninhabitable Earth""",2
"""‘Nearly All’ Recent Global Warming Is Fabricated, Study Finds""",1
"Trump's action could push the Earth over the brink, to become like Venus, with a temperature of two hundred and fifty degrees, and raining sulphuric acid.",1
"""The American South Will Bear the Worst of Climate Change’s Costs""",5
"""95-Degree Days: How Extreme Heat Could Spread Across the World""",4
Most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,1
"""‘Global Warming’ Is a Myth, Say 58 Scientific Papers in 2017""",1
'Global warming' is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,1
"""WHO: United States Among Least Polluting Nations on the Planet""",1
"""Ted Cruz: Trump should withdraw from Paris climate pact""",1
Neither the rate nor the magnitude of the reported late twentieth century surface warming (1979–2000) lay outside normal natural variability.,2
"Forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming, despite continuing CO2 emissions.",1
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,1
"""Antarctic Dispatches: Miles of ice collapsing into the sea / Racing to find answers in the ice""",5
[climate models] systematically over-estimate the sensitivity of climate to carbon dioxide ... and modelers exclude forcings and feedbacks that run counter to their mission,1
"""The ‘ancient carbon’ of Alaska’s tundras is being released, starting a vicious warming cycle""",4
Melting of Arctic sea ice and polar icecaps is not occurring at ‘unnatural’ rates and does not constitute evidence of a human impact on the climate.,1
"""Global Quackery: Earth Has Not Warmed For Past 19 Years, New Study Finds""",1
"""Another Arctic ice panic over as world temperatures plummet""",1
Best available data show sea-level rise is not accelerating. Local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,1
"Solar forcings are not too small to explain twentieth century warming. In fact, their effect could be equal to or greater than the effect of CO<sub>2</sub> in the atmosphere.",1
"Doubling the concentration of atmospheric CO2 from its pre-industrial level, in the absence of other forcings and feedbacks, would likely cause a warming of ~0.3°C to 1.1°C",2
"The temperature is not rising nearly as fast as the alarmist computer models predicted. You know, it’s much, much less, factors of 2 or 3 less.",1
"there's this myth that's developed around carbon dioxide that it's a pollutant […] Carbon dioxide is a perfectly natural gas, it’s just like water vapor, it’s something that plants love.",2
"""How a Melting Arctic Changes Everything""",5
"""From extreme drought to record rain: Why California's drought-to-deluge cycle is getting worse""",4
“Miami’s fight against rising seas”,5
"""One the most troubling ideas about climate change just found new evidence in its favor""",5
"""Record-breaking climate change pushes world into ‘uncharted territory’""",5
"""Large Sections Australia’s Great Reef Are Now Dead, Scientists Find""",5
"""Why are climate-change models so flawed? Because climate science is so incomplete""",1
I would not agree that [carbon dioxide is] a primary contributor to the global warming that we see.,1
"""Scientists: Here's What Really Causes Climate Change (And It Has Nothing To Do With Human Beings)""",1
"""Here’s why it's so frickin’ hot right now""",5
"""Scientists have just detected a major change to the Earth’s oceans linked to a warming climate""",5
"""What California’s Dam Crisis Says About the Changing Climate""",4
"""The big melt: Global sea ice at record low""",5
world leaders were duped into investing billions over manipulated global warming data,2
the warming is not nearly as great as the climate change computer models have predicted.,2
"""U.S. scientists officially declare 2016 the hottest year on record. That makes three in a row.""",5
"""Ocean acidification: yet another wobbly pillar climate alarmism""",1
there has been no reduction in oceanic pH levels in the last century,1
"""Arctic ice melt 'already affecting weather patterns where you live right now'""",4
"""Stunning new data indicates El Nino drove record highs in global temperatures...""",1
El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,2
"""Australia’s Great Barrier Reef has worst coral die-off ever""",5
"""Amid higher global temperatures, sea ice at record lows at poles""",5
"""The Phony War Against CO2""",1
"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.",1
"""Hillary Clinton Boards The Climate Crisis Train To Nowhere""",1
"""About Those Non-Disappearing Pacific Islands""",1
"""James Lovelock: ‘Before the end this century, robots will have taken over’""",1
"""Climate Exaggeration is Backfiring""",1
"""Greenland's huge annual ice loss is even worse than thought""",5
"""Flooding Coast, Caused by Global Warming, Has Already Begun""",5
Sea level rise could reach six or seven feet by the year 2100.,5
"""Next year or the year after, the Arctic will be free ice""",2
"""Disasters like Louisiana floods will worsen as planet warms, scientists warn""",5
"""Environmental records shattered as climate change 'plays out before us'""",5
"""What science can tell us about the links between global warming and massive heat waves""",5
the U.S. is shattering high temperature records far more frequently than it is shattering low temperature records,5
"""Scientists warn 'global climate emergency' over shifting jet stream""",1
"""Thanks to climate change, the Arctic is turning green""",4
"""Great Barrier Reef may perish by 2030s...""",4
"""An Overheated Climate Alarm""",1
"""What we’re doing to the Earth has no parallel in 66 million years, scientists say""",5
"""Scientists are exaggerating carbon threat to marine life""",1
"""Seas Are Rising at Fastest Rate in Last 28 Centuries""",5
"""The Climate Snow Job""",1
"""2015 Was Not Even Close To Hottest Year On Record""",1
"""2015 Was Hottest Year in Historical Record, Scientists Say""",5
"""Scientists say human greenhouse gas emissions have canceled the next ice age""",5
"""Your Complete Guide to the Climate Debate""",1
“Top 10 Global Warming Lies That May Shock You”,1
“Updated NASA Data: Global Warming Not Causing Any Polar Ice Retreat”,1
“How Hurricane Patricia became the strongest hurricane on record so quickly”,5
“Climate Change Will Cause Increased Flooding In Coastal Cities ”,4
“South Carolina flooding is the type event climate scientists have warned about for years”,5
"“Wake up, Obama, climate change has been happening forever”",1
“Deceptive temperature record claims”,1
"“El Niño, explained: Why this year's could be one the strongest on record”",5
“How Arctic ice has made fools all those poor warmists”,1
“Earth heading for 'mini ice age' within 15 years”,1
Pope Francis’ Encyclical Laudato Si,4
"""Vanuatu's president makes a leap in tying Cyclone Pam to climate change""",5
"""The Alarming Thing About Climate Alarmism""",1
"""2014 Breaks Heat Record, Challenging Global Warming Skeptics""",5
